"Work ID",answers,"inner score"
140313,"1::گاهی اوقات, 2::گاهی اوقات, 3::به ندرت, 4::به ندرت, 5::اصلا  درباره من صدق نمی‌کند, 6::به ندرت, 7::به ندرت, 8::به ندرت, 9::اصلا  درباره من صدق نمی‌کند, 10::به ندرت, 11::اصلا  درباره من صدق نمی‌کند, 12::به ندرت, 13::به ندرت, 14::به ندرت, 15::اصلا  درباره من صدق نمی‌کند, 16::به ندرت, 17::به ندرت, 18::اصلا  درباره من صدق نمی‌کند, 19::به ندرت, 20::به ندرت, 21::اصلا  درباره من صدق نمی‌کند, 22::به ندرت, 23::به ندرت, 24::به ندرت, 25::گاهی اوقات",47
50000395,"1::بیشتر اوقات, 2::به ندرت, 3::بیشتر اوقات, 4::اصلا  درباره من صدق نمی‌کند, 5::به ندرت, 6::اصلا  درباره من صدق نمی‌کند, 7::گاهی اوقات, 8::به ندرت, 9::گاهی اوقات, 10::به ندرت, 11::همیشه, 12::اصلا  درباره من صدق نمی‌کند, 13::به ندرت, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::همیشه, 17::گاهی اوقات, 18::بیشتر اوقات, 19::بیشتر اوقات, 20::گاهی اوقات, 21::گاهی اوقات, 22::گاهی اوقات, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",
140212,"1::به ندرت, 2::به ندرت, 3::اصلا  درباره من صدق نمی‌کند, 4::اصلا  درباره من صدق نمی‌کند, 5::به ندرت, 6::گاهی اوقات, 7::به ندرت, 8::اصلا  درباره من صدق نمی‌کند, 9::اصلا  درباره من صدق نمی‌کند, 10::بیشتر اوقات, 11::اصلا  درباره من صدق نمی‌کند, 12::اصلا  درباره من صدق نمی‌کند, 13::به ندرت, 14::به ندرت, 15::اصلا  درباره من صدق نمی‌کند, 16::گاهی اوقات, 17::به ندرت, 18::به ندرت, 19::اصلا  درباره من صدق نمی‌کند, 20::اصلا  درباره من صدق نمی‌کند, 21::اصلا  درباره من صدق نمی‌کند, 22::اصلا  درباره من صدق نمی‌کند, 23::گاهی اوقات, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",42
140244,"1::گاهی اوقات, 2::به ندرت, 3::به ندرت, 4::اصلا  درباره من صدق نمی‌کند, 5::اصلا  درباره من صدق نمی‌کند, 6::اصلا  درباره من صدق نمی‌کند, 7::گاهی اوقات, 8::به ندرت, 9::به ندرت, 10::گاهی اوقات, 11::بیشتر اوقات, 12::به ندرت, 13::بیشتر اوقات, 14::به ندرت, 15::به ندرت, 16::همیشه, 17::بیشتر اوقات, 18::به ندرت, 19::به ندرت, 20::به ندرت, 21::گاهی اوقات, 22::گاهی اوقات, 23::گاهی اوقات, 24::گاهی اوقات, 25::به ندرت",63
140184,"1::بیشتر اوقات, 2::گاهی اوقات, 3::گاهی اوقات, 4::بیشتر اوقات, 5::گاهی اوقات, 6::به ندرت, 7::گاهی اوقات, 8::به ندرت, 9::به ندرت, 10::به ندرت, 11::گاهی اوقات, 12::به ندرت, 13::گاهی اوقات, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::گاهی اوقات, 17::گاهی اوقات, 18::بیشتر اوقات, 19::گاهی اوقات, 20::گاهی اوقات, 21::به ندرت, 22::به ندرت, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",61
139718,"1::گاهی اوقات, 2::گاهی اوقات, 3::گاهی اوقات, 4::به ندرت, 5::به ندرت, 6::اصلا  درباره من صدق نمی‌کند, 7::اصلا  درباره من صدق نمی‌کند, 8::اصلا  درباره من صدق نمی‌کند, 9::اصلا  درباره من صدق نمی‌کند, 10::به ندرت, 11::اصلا  درباره من صدق نمی‌کند, 12::اصلا  درباره من صدق نمی‌کند, 13::اصلا  درباره من صدق نمی‌کند, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::اصلا  درباره من صدق نمی‌کند, 17::به ندرت, 18::به ندرت, 19::اصلا  درباره من صدق نمی‌کند, 20::اصلا  درباره من صدق نمی‌کند, 21::اصلا  درباره من صدق نمی‌کند, 22::اصلا  درباره من صدق نمی‌کند, 23::گاهی اوقات, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",38
1349,"1::به ندرت, 2::به ندرت, 3::گاهی اوقات, 4::گاهی اوقات, 5::اصلا  درباره من صدق نمی‌کند, 6::گاهی اوقات, 7::گاهی اوقات, 8::اصلا  درباره من صدق نمی‌کند, 9::اصلا  درباره من صدق نمی‌کند, 10::به ندرت, 11::گاهی اوقات, 12::به ندرت, 13::اصلا  درباره من صدق نمی‌کند, 14::گاهی اوقات, 15::اصلا  درباره من صدق نمی‌کند, 16::گاهی اوقات, 17::گاهی اوقات, 18::بیشتر اوقات, 19::به ندرت, 20::اصلا  درباره من صدق نمی‌کند, 21::اصلا  درباره من صدق نمی‌کند, 22::گاهی اوقات, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",51
140210,"1::بیشتر اوقات, 2::بیشتر اوقات, 3::بیشتر اوقات, 4::گاهی اوقات, 5::گاهی اوقات, 6::به ندرت, 7::گاهی اوقات, 8::به ندرت, 9::به ندرت, 10::گاهی اوقات, 11::گاهی اوقات, 12::به ندرت, 13::به ندرت, 14::اصلا  درباره من صدق نمی‌کند, 15::به ندرت, 16::اصلا  درباره من صدق نمی‌کند, 17::به ندرت, 18::به ندرت, 19::به ندرت, 20::گاهی اوقات, 21::بیشتر اوقات, 22::به ندرت, 23::به ندرت, 24::اصلا  درباره من صدق نمی‌کند, 25::به ندرت",61
139021,"1::بیشتر اوقات, 2::بیشتر اوقات, 3::بیشتر اوقات, 4::گاهی اوقات, 5::گاهی اوقات, 6::گاهی اوقات, 7::بیشتر اوقات, 8::گاهی اوقات, 9::به ندرت, 10::گاهی اوقات, 11::گاهی اوقات, 12::گاهی اوقات, 13::گاهی اوقات, 14::به ندرت, 15::به ندرت, 16::به ندرت, 17::بیشتر اوقات, 18::بیشتر اوقات, 19::گاهی اوقات, 20::به ندرت, 21::گاهی اوقات, 22::بیشتر اوقات, 23::بیشتر اوقات, 24::بیشتر اوقات, 25::گاهی اوقات",79
139781,"1::به ندرت, 2::به ندرت, 3::به ندرت, 4::به ندرت, 5::به ندرت, 6::اصلا  درباره من صدق نمی‌کند, 7::به ندرت, 8::اصلا  درباره من صدق نمی‌کند, 9::اصلا  درباره من صدق نمی‌کند, 10::به ندرت, 11::اصلا  درباره من صدق نمی‌کند, 12::اصلا  درباره من صدق نمی‌کند, 13::اصلا  درباره من صدق نمی‌کند, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::به ندرت, 17::به ندرت, 18::به ندرت, 19::گاهی اوقات, 20::اصلا  درباره من صدق نمی‌کند, 21::اصلا  درباره من صدق نمی‌کند, 22::اصلا  درباره من صدق نمی‌کند, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",37
1334,"1::به ندرت, 2::اصلا  درباره من صدق نمی‌کند, 3::اصلا  درباره من صدق نمی‌کند, 4::اصلا  درباره من صدق نمی‌کند, 5::اصلا  درباره من صدق نمی‌کند, 6::اصلا  درباره من صدق نمی‌کند, 7::اصلا  درباره من صدق نمی‌کند, 8::اصلا  درباره من صدق نمی‌کند, 9::اصلا  درباره من صدق نمی‌کند, 10::به ندرت, 11::اصلا  درباره من صدق نمی‌کند, 12::اصلا  درباره من صدق نمی‌کند, 13::اصلا  درباره من صدق نمی‌کند, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::اصلا  درباره من صدق نمی‌کند, 17::اصلا  درباره من صدق نمی‌کند, 18::اصلا  درباره من صدق نمی‌کند, 19::اصلا  درباره من صدق نمی‌کند, 20::اصلا  درباره من صدق نمی‌کند, 21::اصلا  درباره من صدق نمی‌کند, 22::اصلا  درباره من صدق نمی‌کند, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",27
140207,"1::گاهی اوقات, 2::گاهی اوقات, 3::به ندرت, 4::به ندرت, 5::اصلا  درباره من صدق نمی‌کند, 6::اصلا  درباره من صدق نمی‌کند, 7::به ندرت, 8::اصلا  درباره من صدق نمی‌کند, 9::اصلا  درباره من صدق نمی‌کند, 10::به ندرت, 11::اصلا  درباره من صدق نمی‌کند, 12::اصلا  درباره من صدق نمی‌کند, 13::به ندرت, 14::اصلا  درباره من صدق نمی‌کند, 15::به ندرت, 16::اصلا  درباره من صدق نمی‌کند, 17::اصلا  درباره من صدق نمی‌کند, 18::به ندرت, 19::اصلا  درباره من صدق نمی‌کند, 20::اصلا  درباره من صدق نمی‌کند, 21::به ندرت, 22::اصلا  درباره من صدق نمی‌کند, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",37
140097,"1::بیشتر اوقات, 2::بیشتر اوقات, 3::گاهی اوقات, 4::اصلا  درباره من صدق نمی‌کند, 5::اصلا  درباره من صدق نمی‌کند, 6::به ندرت, 7::به ندرت, 8::اصلا  درباره من صدق نمی‌کند, 9::به ندرت, 10::گاهی اوقات, 11::گاهی اوقات, 12::اصلا  درباره من صدق نمی‌کند, 13::به ندرت, 14::بیشتر اوقات, 15::گاهی اوقات, 16::به ندرت, 17::بیشتر اوقات, 18::به ندرت, 19::بیشتر اوقات, 20::اصلا  درباره من صدق نمی‌کند, 21::اصلا  درباره من صدق نمی‌کند, 22::بیشتر اوقات, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",57
1307,"1::گاهی اوقات, 2::گاهی اوقات, 3::گاهی اوقات, 4::گاهی اوقات, 5::گاهی اوقات, 6::گاهی اوقات, 7::به ندرت, 8::به ندرت, 9::اصلا  درباره من صدق نمی‌کند, 10::اصلا  درباره من صدق نمی‌کند, 11::بیشتر اوقات, 12::اصلا  درباره من صدق نمی‌کند, 13::اصلا  درباره من صدق نمی‌کند, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::بیشتر اوقات, 17::بیشتر اوقات, 18::بیشتر اوقات, 19::گاهی اوقات, 20::گاهی اوقات, 21::اصلا  درباره من صدق نمی‌کند, 22::اصلا  درباره من صدق نمی‌کند, 23::بیشتر اوقات, 24::گاهی اوقات, 25::به ندرت",61
1247,"1::به ندرت, 2::اصلا  درباره من صدق نمی‌کند, 3::به ندرت, 4::اصلا  درباره من صدق نمی‌کند, 5::اصلا  درباره من صدق نمی‌کند, 6::اصلا  درباره من صدق نمی‌کند, 7::به ندرت, 8::اصلا  درباره من صدق نمی‌کند, 9::اصلا  درباره من صدق نمی‌کند, 10::بیشتر اوقات, 11::به ندرت, 12::اصلا  درباره من صدق نمی‌کند, 13::اصلا  درباره من صدق نمی‌کند, 14::به ندرت, 15::اصلا  درباره من صدق نمی‌کند, 16::بیشتر اوقات, 17::گاهی اوقات, 18::اصلا  درباره من صدق نمی‌کند, 19::گاهی اوقات, 20::اصلا  درباره من صدق نمی‌کند, 21::اصلا  درباره من صدق نمی‌کند, 22::گاهی اوقات, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::به ندرت",43
1157,"1::بیشتر اوقات, 2::به ندرت, 3::گاهی اوقات, 4::بیشتر اوقات, 5::بیشتر اوقات, 6::بیشتر اوقات, 7::بیشتر اوقات, 8::به ندرت, 9::به ندرت, 10::همیشه, 11::اصلا  درباره من صدق نمی‌کند, 12::به ندرت, 13::همیشه, 14::همیشه, 15::همیشه, 16::همیشه, 17::همیشه, 18::بیشتر اوقات, 19::به ندرت, 20::به ندرت, 21::اصلا  درباره من صدق نمی‌کند, 22::اصلا  درباره من صدق نمی‌کند, 23::بیشتر اوقات, 24::بیشتر اوقات, 25::همیشه",85
140095,"1::گاهی اوقات, 2::گاهی اوقات, 3::اصلا  درباره من صدق نمی‌کند, 4::اصلا  درباره من صدق نمی‌کند, 5::اصلا  درباره من صدق نمی‌کند, 6::اصلا  درباره من صدق نمی‌کند, 7::اصلا  درباره من صدق نمی‌کند, 8::اصلا  درباره من صدق نمی‌کند, 9::اصلا  درباره من صدق نمی‌کند, 10::به ندرت, 11::گاهی اوقات, 12::اصلا  درباره من صدق نمی‌کند, 13::به ندرت, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::به ندرت, 17::بیشتر اوقات, 18::به ندرت, 19::به ندرت, 20::به ندرت, 21::اصلا  درباره من صدق نمی‌کند, 22::اصلا  درباره من صدق نمی‌کند, 23::اصلا  درباره من صدق نمی‌کند, 24::به ندرت, 25::اصلا  درباره من صدق نمی‌کند",41
139068,"1::گاهی اوقات, 2::به ندرت, 3::به ندرت, 4::به ندرت, 5::به ندرت, 6::اصلا  درباره من صدق نمی‌کند, 7::گاهی اوقات, 8::به ندرت, 9::به ندرت, 10::به ندرت, 11::به ندرت, 12::به ندرت, 13::به ندرت, 14::گاهی اوقات, 15::گاهی اوقات, 16::بیشتر اوقات, 17::گاهی اوقات, 18::بیشتر اوقات, 19::گاهی اوقات, 20::به ندرت, 21::اصلا  درباره من صدق نمی‌کند, 22::به ندرت, 23::گاهی اوقات, 24::گاهی اوقات, 25::گاهی اوقات",61
139863,"1::گاهی اوقات, 2::گاهی اوقات, 3::گاهی اوقات, 4::اصلا  درباره من صدق نمی‌کند, 5::به ندرت, 6::اصلا  درباره من صدق نمی‌کند, 7::به ندرت, 8::اصلا  درباره من صدق نمی‌کند, 9::اصلا  درباره من صدق نمی‌کند, 10::همیشه, 11::اصلا  درباره من صدق نمی‌کند, 12::اصلا  درباره من صدق نمی‌کند, 13::اصلا  درباره من صدق نمی‌کند, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::اصلا  درباره من صدق نمی‌کند, 17::گاهی اوقات, 18::گاهی اوقات, 19::اصلا  درباره من صدق نمی‌کند, 20::اصلا  درباره من صدق نمی‌کند, 21::اصلا  درباره من صدق نمی‌کند, 22::گاهی اوقات, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",43
140099,"1::اصلا  درباره من صدق نمی‌کند, 2::به ندرت, 3::به ندرت, 4::به ندرت, 5::به ندرت, 6::اصلا  درباره من صدق نمی‌کند, 7::اصلا  درباره من صدق نمی‌کند, 8::اصلا  درباره من صدق نمی‌کند, 9::اصلا  درباره من صدق نمی‌کند, 10::بیشتر اوقات, 11::بیشتر اوقات, 12::اصلا  درباره من صدق نمی‌کند, 13::گاهی اوقات, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::بیشتر اوقات, 17::همیشه, 18::گاهی اوقات, 19::به ندرت, 20::اصلا  درباره من صدق نمی‌کند, 21::اصلا  درباره من صدق نمی‌کند, 22::اصلا  درباره من صدق نمی‌کند, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",47
1035,"1::گاهی اوقات, 2::به ندرت, 3::اصلا  درباره من صدق نمی‌کند, 4::به ندرت, 5::به ندرت, 6::گاهی اوقات, 7::به ندرت, 8::گاهی اوقات, 9::به ندرت, 10::گاهی اوقات, 11::به ندرت, 12::به ندرت, 13::بیشتر اوقات, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::گاهی اوقات, 17::گاهی اوقات, 18::گاهی اوقات, 19::به ندرت, 20::اصلا  درباره من صدق نمی‌کند, 21::گاهی اوقات, 22::گاهی اوقات, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::به ندرت",55
139742,"1::به ندرت, 2::گاهی اوقات, 3::به ندرت, 4::گاهی اوقات, 5::گاهی اوقات, 6::اصلا  درباره من صدق نمی‌کند, 7::اصلا  درباره من صدق نمی‌کند, 8::به ندرت, 9::گاهی اوقات, 10::بیشتر اوقات, 11::گاهی اوقات, 12::اصلا  درباره من صدق نمی‌کند, 13::گاهی اوقات, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::گاهی اوقات, 17::بیشتر اوقات, 18::گاهی اوقات, 19::بیشتر اوقات, 20::اصلا  درباره من صدق نمی‌کند, 21::اصلا  درباره من صدق نمی‌کند, 22::گاهی اوقات, 23::اصلا  درباره من صدق نمی‌کند, 24::به ندرت, 25::اصلا  درباره من صدق نمی‌کند",56
140214,"1::گاهی اوقات, 2::گاهی اوقات, 3::بیشتر اوقات, 4::گاهی اوقات, 5::اصلا  درباره من صدق نمی‌کند, 6::اصلا  درباره من صدق نمی‌کند, 7::به ندرت, 8::به ندرت, 9::به ندرت, 10::گاهی اوقات, 11::گاهی اوقات, 12::اصلا  درباره من صدق نمی‌کند, 13::گاهی اوقات, 14::به ندرت, 15::اصلا  درباره من صدق نمی‌کند, 16::گاهی اوقات, 17::گاهی اوقات, 18::گاهی اوقات, 19::به ندرت, 20::اصلا  درباره من صدق نمی‌کند, 21::گاهی اوقات, 22::همیشه, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::گاهی اوقات",59
140069,"1::به ندرت, 2::گاهی اوقات, 3::به ندرت, 4::اصلا  درباره من صدق نمی‌کند, 5::اصلا  درباره من صدق نمی‌کند, 6::اصلا  درباره من صدق نمی‌کند, 7::اصلا  درباره من صدق نمی‌کند, 8::اصلا  درباره من صدق نمی‌کند, 9::به ندرت, 10::گاهی اوقات, 11::به ندرت, 12::اصلا  درباره من صدق نمی‌کند, 13::اصلا  درباره من صدق نمی‌کند, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::اصلا  درباره من صدق نمی‌کند, 17::گاهی اوقات, 18::بیشتر اوقات, 19::بیشتر اوقات, 20::به ندرت, 21::به ندرت, 22::به ندرت, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::به ندرت",45
139993,"1::بیشتر اوقات, 2::گاهی اوقات, 3::بیشتر اوقات, 4::گاهی اوقات, 5::گاهی اوقات, 6::بیشتر اوقات, 7::گاهی اوقات, 8::گاهی اوقات, 9::به ندرت, 10::بیشتر اوقات, 11::بیشتر اوقات, 12::به ندرت, 13::گاهی اوقات, 14::به ندرت, 15::به ندرت, 16::گاهی اوقات, 17::گاهی اوقات, 18::به ندرت, 19::بیشتر اوقات, 20::گاهی اوقات, 21::اصلا  درباره من صدق نمی‌کند, 22::اصلا  درباره من صدق نمی‌کند, 23::به ندرت, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",67
140100,"1::بیشتر اوقات, 2::بیشتر اوقات, 3::اصلا  درباره من صدق نمی‌کند, 4::به ندرت, 5::به ندرت, 6::اصلا  درباره من صدق نمی‌کند, 7::گاهی اوقات, 8::گاهی اوقات, 9::اصلا  درباره من صدق نمی‌کند, 10::گاهی اوقات, 11::بیشتر اوقات, 12::اصلا  درباره من صدق نمی‌کند, 13::به ندرت, 14::به ندرت, 15::اصلا  درباره من صدق نمی‌کند, 16::بیشتر اوقات, 17::گاهی اوقات, 18::گاهی اوقات, 19::بیشتر اوقات, 20::به ندرت, 21::گاهی اوقات, 22::اصلا  درباره من صدق نمی‌کند, 23::گاهی اوقات, 24::گاهی اوقات, 25::گاهی اوقات",63
140102,"1::گاهی اوقات, 2::به ندرت, 3::به ندرت, 4::اصلا  درباره من صدق نمی‌کند, 5::به ندرت, 6::اصلا  درباره من صدق نمی‌کند, 7::به ندرت, 8::به ندرت, 9::اصلا  درباره من صدق نمی‌کند, 10::گاهی اوقات, 11::به ندرت, 12::اصلا  درباره من صدق نمی‌کند, 13::اصلا  درباره من صدق نمی‌کند, 14::به ندرت, 15::اصلا  درباره من صدق نمی‌کند, 16::به ندرت, 17::به ندرت, 18::گاهی اوقات, 19::بیشتر اوقات, 20::بیشتر اوقات, 21::به ندرت, 22::اصلا  درباره من صدق نمی‌کند, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",47
